shot,category,t_start,t_end,confidence
155146,0,0.000000000000,6000.000000000000,
155147,0,0.000000000000,1400.000000000000,
155147,1,1400.000000000000,1450.000000000000,
155147,0,1450.000000000000,1600.000000000000,
155147,1,1600.000000000000,1700.000000000000,
155147,0,1700.000000000000,6000.000000000000,
155148,0,0.000000000000,1400.000000000000,
155148,1,1400.000000000000,1450.000000000000,
155148,0,1450.000000000000,6000.000000000000,
155149,0,0.000000000000,1500.000000000000,
155149,1,1500.000000000000,1550.000000000000,
155149,0,1550.000000000000,1650.000000000000,
155149,1,1650.000000000000,1850.000000000000,
155149,0,1850.000000000000,1900.000000000000,
155149,1,1900.000000000000,1950.000000000000,
155149,0,1950.000000000000,3200.000000000000,
155149,1,3200.000000000000,3250.000000000000,
155149,0,3250.000000000000,6000.000000000000,
155150,0,0.000000000000,2550.000000000000,
155150,1,2550.000000000000,2600.000000000000,
155150,0,2600.000000000000,6000.000000000000,
155151,0,0.000000000000,3650.000000000000,
155151,1,3650.000000000000,3700.000000000000,
155151,0,3700.000000000000,3950.000000000000,
155151,1,3950.000000000000,4000.000000000000,
155151,0,4000.000000000000,4200.000000000000,
155151,1,4200.000000000000,4300.000000000000,
155151,0,4300.000000000000,4500.000000000000,
155151,1,4500.000000000000,4550.000000000000,
155151,0,4550.000000000000,4600.000000000000,
155151,1,4600.000000000000,4650.000000000000,
155151,0,4650.000000000000,6000.000000000000,
155152,0,0.000000000000,3100.000000000000,
155152,1,3100.000000000000,3150.000000000000,
155152,0,3150.000000000000,3200.000000000000,
155152,1,3200.000000000000,3250.000000000000,
155152,0,3250.000000000000,3300.000000000000,
155152,1,3300.000000000000,3350.000000000000,
155152,0,3350.000000000000,3550.000000000000,
155152,1,3550.000000000000,3650.000000000000,
155152,0,3650.000000000000,3700.000000000000,
155152,1,3700.000000000000,3800.000000000000,
155152,0,3800.000000000000,3850.000000000000,
155152,1,3850.000000000000,4050.000000000000,
155152,0,4050.000000000000,4250.000000000000,
155152,1,4250.000000000000,4350.000000000000,
155152,0,4350.000000000000,6000.000000000000,
155153,0,0.000000000000,3100.000000000000,
155153,1,3100.000000000000,3150.000000000000,
155153,0,3150.000000000000,3300.000000000000,
155153,1,3300.000000000000,3800.000000000000,
155153,0,3800.000000000000,3850.000000000000,
155153,1,3850.000000000000,3900.000000000000,
155153,0,3900.000000000000,3950.000000000000,
155153,1,3950.000000000000,4000.000000000000,
155153,0,4000.000000000000,4100.000000000000,
155153,1,4100.000000000000,4150.000000000000,
155153,0,4150.000000000000,6000.000000000000,
155154,0,0.000000000000,3000.000000000000,
155154,1,3000.000000000000,3150.000000000000,
155154,0,3150.000000000000,3200.000000000000,
155154,1,3200.000000000000,3250.000000000000,
155154,0,3250.000000000000,3300.000000000000,
155154,1,3300.000000000000,3450.000000000000,
155154,0,3450.000000000000,3500.000000000000,
155154,1,3500.000000000000,3550.000000000000,
155154,0,3550.000000000000,3600.000000000000,
155154,1,3600.000000000000,3700.000000000000,
155154,0,3700.000000000000,3750.000000000000,
155154,1,3750.000000000000,3900.000000000000,
155154,0,3900.000000000000,3950.000000000000,
155154,1,3950.000000000000,4100.000000000000,
155154,0,4100.000000000000,4200.000000000000,
155154,1,4200.000000000000,4400.000000000000,
155154,0,4400.000000000000,4450.000000000000,
155154,1,4450.000000000000,4550.000000000000,
155154,0,4550.000000000000,4600.000000000000,
155154,1,4600.000000000000,4850.000000000000,
155154,0,4850.000000000000,4900.000000000000,
155154,1,4900.000000000000,4950.000000000000,
155154,0,4950.000000000000,6000.000000000000,
155155,0,0.000000000000,3000.000000000000,
155155,1,3000.000000000000,3200.000000000000,
155155,0,3200.000000000000,3400.000000000000,
155155,1,3400.000000000000,3500.000000000000,
155155,0,3500.000000000000,3600.000000000000,
155155,1,3600.000000000000,3650.000000000000,
155155,0,3650.000000000000,3700.000000000000,
155155,1,3700.000000000000,3750.000000000000,
155155,0,3750.000000000000,6000.000000000000,
155156,0,0.000000000000,2400.000000000000,
155156,1,2400.000000000000,2450.000000000000,
155156,0,2450.000000000000,2650.000000000000,
155156,1,2650.000000000000,2700.000000000000,
155156,0,2700.000000000000,2750.000000000000,
155156,1,2750.000000000000,2800.000000000000,
155156,0,2800.000000000000,3150.000000000000,
155156,1,3150.000000000000,3200.000000000000,
155156,0,3200.000000000000,3450.000000000000,
155156,1,3450.000000000000,3700.000000000000,
155156,0,3700.000000000000,3750.000000000000,
155156,1,3750.000000000000,3800.000000000000,
155156,0,3800.000000000000,3900.000000000000,
155156,1,3900.000000000000,4050.000000000000,
155156,0,4050.000000000000,4100.000000000000,
155156,1,4100.000000000000,4150.000000000000,
155156,0,4150.000000000000,4250.000000000000,
155156,1,4250.000000000000,4350.000000000000,
155156,0,4350.000000000000,4500.000000000000,
155156,1,4500.000000000000,4750.000000000000,
155156,0,4750.000000000000,6000.000000000000,
155157,0,0.000000000000,2850.000000000000,
155157,1,2850.000000000000,2900.000000000000,
155157,0,2900.000000000000,2950.000000000000,
155157,1,2950.000000000000,3150.000000000000,
155157,0,3150.000000000000,3500.000000000000,
155157,1,3500.000000000000,3550.000000000000,
155157,0,3550.000000000000,3600.000000000000,
155157,1,3600.000000000000,3700.000000000000,
155157,0,3700.000000000000,3900.000000000000,
155157,1,3900.000000000000,3950.000000000000,
155157,0,3950.000000000000,4150.000000000000,
155157,1,4150.000000000000,4650.000000000000,
155157,0,4650.000000000000,4700.000000000000,
155157,1,4700.000000000000,4850.000000000000,
155157,0,4850.000000000000,6000.000000000000,
155159,0,0.000000000000,2750.000000000000,
155159,1,2750.000000000000,2800.000000000000,
155159,0,2800.000000000000,2850.000000000000,
155159,1,2850.000000000000,2900.000000000000,
155159,0,2900.000000000000,3050.000000000000,
155159,1,3050.000000000000,3150.000000000000,
155159,0,3150.000000000000,3650.000000000000,
155159,1,3650.000000000000,3800.000000000000,
155159,0,3800.000000000000,3850.000000000000,
155159,1,3850.000000000000,3900.000000000000,
155159,0,3900.000000000000,3950.000000000000,
155159,1,3950.000000000000,4000.000000000000,
155159,0,4000.000000000000,4200.000000000000,
155159,1,4200.000000000000,4350.000000000000,
155159,0,4350.000000000000,4500.000000000000,
155159,1,4500.000000000000,4550.000000000000,
155159,0,4550.000000000000,4600.000000000000,
155159,1,4600.000000000000,4700.000000000000,
155159,0,4700.000000000000,6000.000000000000,
155160,0,0.000000000000,2550.000000000000,
155160,1,2550.000000000000,2600.000000000000,
155160,0,2600.000000000000,2650.000000000000,
155160,1,2650.000000000000,2750.000000000000,
155160,0,2750.000000000000,2850.000000000000,
155160,1,2850.000000000000,2950.000000000000,
155160,0,2950.000000000000,3000.000000000000,
155160,1,3000.000000000000,3150.000000000000,
155160,0,3150.000000000000,3650.000000000000,
155160,1,3650.000000000000,3700.000000000000,
155160,0,3700.000000000000,3950.000000000000,
155160,1,3950.000000000000,4000.000000000000,
155160,0,4000.000000000000,4200.000000000000,
155160,1,4200.000000000000,4450.000000000000,
155160,0,4450.000000000000,4500.000000000000,
155160,1,4500.000000000000,4800.000000000000,
155160,0,4800.000000000000,6000.000000000000,
155161,0,0.000000000000,2400.000000000000,
155161,1,2400.000000000000,2450.000000000000,
155161,0,2450.000000000000,2500.000000000000,
155161,1,2500.000000000000,2550.000000000000,
155161,0,2550.000000000000,2700.000000000000,
155161,1,2700.000000000000,2750.000000000000,
155161,0,2750.000000000000,2800.000000000000,
155161,1,2800.000000000000,2850.000000000000,
155161,0,2850.000000000000,3000.000000000000,
155161,1,3000.000000000000,3150.000000000000,
155161,0,3150.000000000000,3300.000000000000,
155161,1,3300.000000000000,3350.000000000000,
155161,0,3350.000000000000,3400.000000000000,
155161,1,3400.000000000000,3450.000000000000,
155161,0,3450.000000000000,3600.000000000000,
155161,1,3600.000000000000,3650.000000000000,
155161,0,3650.000000000000,3700.000000000000,
155161,1,3700.000000000000,3750.000000000000,
155161,0,3750.000000000000,3950.000000000000,
155161,1,3950.000000000000,4000.000000000000,
155161,0,4000.000000000000,4100.000000000000,
155161,1,4100.000000000000,4200.000000000000,
155161,0,4200.000000000000,4250.000000000000,
155161,1,4250.000000000000,4300.000000000000,
155161,0,4300.000000000000,4550.000000000000,
155161,1,4550.000000000000,4650.000000000000,
155161,0,4650.000000000000,6000.000000000000,
155162,0,0.000000000000,1450.000000000000,
155162,1,1450.000000000000,1500.000000000000,
155162,0,1500.000000000000,2650.000000000000,
155162,1,2650.000000000000,2700.000000000000,
155162,0,2700.000000000000,4100.000000000000,
155162,1,4100.000000000000,4150.000000000000,
155162,0,4150.000000000000,4200.000000000000,
155162,1,4200.000000000000,4250.000000000000,
155162,0,4250.000000000000,6000.000000000000,
155165,0,0.000000000000,2650.000000000000,
155165,1,2650.000000000000,2700.000000000000,
155165,0,2700.000000000000,2750.000000000000,
155165,1,2750.000000000000,2800.000000000000,
155165,0,2800.000000000000,2900.000000000000,
155165,1,2900.000000000000,2950.000000000000,
155165,0,2950.000000000000,3300.000000000000,
155165,1,3300.000000000000,3350.000000000000,
155165,0,3350.000000000000,6000.000000000000,
163497,0,0.000000000000,2450.000000000000,
163497,1,2450.000000000000,2800.000000000000,
163497,0,2800.000000000000,2850.000000000000,
163497,1,2850.000000000000,2950.000000000000,
163497,0,2950.000000000000,3000.000000000000,
163497,1,3000.000000000000,3100.000000000000,
163497,0,3100.000000000000,3150.000000000000,
163497,1,3150.000000000000,3250.000000000000,
163497,0,3250.000000000000,3350.000000000000,
163497,1,3350.000000000000,5050.000000000000,
163497,0,5050.000000000000,6000.000000000000,
163498,0,0.000000000000,4300.000000000000,
163498,1,4300.000000000000,5000.000000000000,
163498,0,5000.000000000000,6000.000000000000,
163499,0,0.000000000000,1050.000000000000,
163499,1,1050.000000000000,1100.000000000000,
163499,0,1100.000000000000,3650.000000000000,
163499,1,3650.000000000000,3700.000000000000,
163499,0,3700.000000000000,3850.000000000000,
163499,1,3850.000000000000,3900.000000000000,
163499,0,3900.000000000000,4300.000000000000,
163499,1,4300.000000000000,5000.000000000000,
163499,0,5000.000000000000,5050.000000000000,
163499,1,5050.000000000000,5100.000000000000,
163499,0,5100.000000000000,6000.000000000000,
163500,0,0.000000000000,1000.000000000000,
163500,1,1000.000000000000,1050.000000000000,
163500,0,1050.000000000000,2950.000000000000,
163500,1,2950.000000000000,3000.000000000000,
163500,0,3000.000000000000,3050.000000000000,
163500,1,3050.000000000000,3100.000000000000,
163500,0,3100.000000000000,3200.000000000000,
163500,1,3200.000000000000,3300.000000000000,
163500,0,3300.000000000000,3400.000000000000,
163500,1,3400.000000000000,3500.000000000000,
163500,0,3500.000000000000,3800.000000000000,
163500,1,3800.000000000000,3950.000000000000,
163500,0,3950.000000000000,4050.000000000000,
163500,1,4050.000000000000,4100.000000000000,
163500,0,4100.000000000000,4150.000000000000,
163500,1,4150.000000000000,4300.000000000000,
163500,0,4300.000000000000,4350.000000000000,
163500,1,4350.000000000000,4550.000000000000,
163500,0,4550.000000000000,4600.000000000000,
163500,1,4600.000000000000,4650.000000000000,
