shot,category,t_start,t_end,confidence
149993,0,950.000000000000,2000.000000000000,
149993,0,2450.000000000000,2600.000000000000,
149993,1,2600.000000000000,3500.000000000000,
149993,0,4000.000000000000,4150.000000000000,
149993,1,4150.000000000000,5000.000000000000,
149994,0,4150.000000000000,4950.000000000000,
149995,0,2500.000000000000,2800.000000000000,
149995,0,4000.000000000000,5000.000000000000,
149996,0,1000.000000000000,1650.000000000000,
149996,0,2450.000000000000,2700.000000000000,
149996,0,4000.000000000000,4150.000000000000,
152814,0,500.000000000000,1000.000000000000,
154482,0,1000.000000000000,1550.000000000000,
154771,0,2150.000000000000,2700.000000000000,
156679,1,1500.000000000000,3800.000000000000,
156680,1,2000.000000000000,4000.000000000000,
157082,1,1500.000000000000,2000.000000000000,
157083,1,2000.000000000000,4000.000000000000,
157087,1,1500.000000000000,1900.000000000000,
157088,1,1500.000000000000,4500.000000000000,
157089,1,2000.000000000000,3500.000000000000,
157092,1,2000.000000000000,3000.000000000000,
157096,1,2000.000000000000,3000.000000000000,
157097,1,2000.000000000000,3000.000000000000,
157109,1,1250.000000000000,4000.000000000000,
157116,1,2000.000000000000,4000.000000000000,
157117,1,1700.000000000000,4000.000000000000,
157126,1,1250.000000000000,4500.000000000000,
157141,1,1500.000000000000,3500.000000000000,
157152,1,2000.000000000000,3400.000000000000,
159144,1,2500.000000000000,3000.000000000000,
159149,1,2500.000000000000,3500.000000000000,
159161,1,2500.000000000000,4000.000000000000,
159172,1,1500.000000000000,4500.000000000000,
159174,1,2500.000000000000,4500.000000000000,
159175,1,2500.000000000000,4500.000000000000,
159182,1,3000.000000000000,3900.000000000000,
159184,1,2500.000000000000,4500.000000000000,
159186,1,1700.000000000000,2100.000000000000,
159190,1,2000.000000000000,5000.000000000000,
159191,1,2500.000000000000,3000.000000000000,
159370,1,2500.000000000000,3500.000000000000,
159372,0,900.000000000000,1400.000000000000,
159372,1,2000.000000000000,3000.000000000000,
159377,1,2000.000000000000,3000.000000000000,
159531,1,3000.000000000000,4000.000000000000,
159533,1,3500.000000000000,4000.000000000000,
159534,1,2300.000000000000,4000.000000000000,
159536,1,3100.000000000000,3500.000000000000,
159537,1,2500.000000000000,4400.000000000000,
159540,1,2500.000000000000,3500.000000000000,
159543,1,2000.000000000000,2700.000000000000,
159544,1,2000.000000000000,3200.000000000000,
159551,1,2000.000000000000,3300.000000000000,
159552,1,2000.000000000000,3200.000000000000,
159553,1,2000.000000000000,3000.000000000000,
159554,1,2500.000000000000,3000.000000000000,
159562,1,2000.000000000000,5000.000000000000,
159581,1,2500.000000000000,3500.000000000000,
159590,1,2200.000000000000,3000.000000000000,
159600,1,2000.000000000000,2500.000000000000,
159605,1,2000.000000000000,3500.000000000000,
160026,1,2000.000000000000,2400.000000000000,
160054,1,2000.000000000000,3000.000000000000,
160055,1,2000.000000000000,3500.000000000000,
160057,1,2000.000000000000,2500.000000000000,
160058,1,2000.000000000000,3000.000000000000,
160060,1,2000.000000000000,2600.000000000000,
160061,1,2500.000000000000,3500.000000000000,
160062,1,2000.000000000000,2500.000000000000,
160068,1,1700.000000000000,2100.000000000000,
160073,1,2000.000000000000,3000.000000000000,
160086,1,2000.000000000000,2500.000000000000,
160777,1,2000.000000000000,3000.000000000000,
160778,1,1800.000000000000,3000.000000000000,
160781,1,1800.000000000000,3500.000000000000,
160785,1,1800.000000000000,2500.000000000000,
160791,1,2000.000000000000,3000.000000000000,
161320,1,2000.000000000000,4000.000000000000,
161329,1,1800.000000000000,4000.000000000000,
161364,1,2500.000000000000,4000.000000000000,
161376,1,2600.000000000000,4500.000000000000,
161608,0,650.000000000000,1200.000000000000,
161608,1,3700.000000000000,5500.000000000000,
162905,0,700.000000000000,1300.000000000000,
163456,1,1500.000000000000,2500.000000000000,
163458,1,2000.000000000000,4000.000000000000,
163460,1,1500.000000000000,2500.000000000000,
163461,1,1500.000000000000,2500.000000000000,
163464,1,1500.000000000000,2500.000000000000,
163465,1,1500.000000000000,2500.000000000000,
163466,1,1500.000000000000,2500.000000000000,
163469,1,1500.000000000000,2400.000000000000,
163478,1,1200.000000000000,2400.000000000000,
163482,1,1500.000000000000,2000.000000000000,
163498,1,1500.000000000000,2750.000000000000,
163500,1,1250.000000000000,2500.000000000000,
163502,1,1250.000000000000,2100.000000000000,
163503,1,1500.000000000000,1700.000000000000,
163505,1,1650.000000000000,4800.000000000000,
163508,1,1600.000000000000,4050.000000000000,
163509,1,1500.000000000000,1700.000000000000,
163512,1,1600.000000000000,4550.000000000000,
163518,1,1300.000000000000,4700.000000000000,
163525,0,450.000000000000,900.000000000000,
163525,1,1500.000000000000,2400.000000000000,
163525,1,2800.000000000000,4500.000000000000,
164793,0,1150.000000000000,1600.000000000000,
164793,1,1600.000000000000,3100.000000000000,
164798,0,1150.000000000000,1700.000000000000,
164798,1,1700.000000000000,3050.000000000000,
164869,1,1300.000000000000,2300.000000000000,
164870,1,1400.000000000000,4500.000000000000,
164872,1,1500.000000000000,2250.000000000000,
164879,1,2000.000000000000,4900.000000000000,
164880,1,2000.000000000000,4950.000000000000,
164882,1,1250.000000000000,1750.000000000000,
164884,1,2000.000000000000,4900.000000000000,
164901,1,2000.000000000000,4850.000000000000,
164903,1,1250.000000000000,1850.000000000000,
165107,0,1450.000000000000,1900.000000000000,
165107,1,1900.000000000000,3150.000000000000,
165113,0,1500.000000000000,1850.000000000000,
165113,1,1850.000000000000,3150.000000000000,
165721,1,2000.000000000000,4500.000000000000,
165726,1,2250.000000000000,3250.000000000000,
165726,1,3750.000000000000,5000.000000000000,
166609,0,700.000000000000,3250.000000000000,
166609,1,3250.000000000000,5000.000000000000,
167587,1,2100.000000000000,2400.000000000000,
167588,1,3000.000000000000,4800.000000000000,
167589,1,1800.000000000000,4150.000000000000,
