Shot,BES Start Time (ms),BES Stop Time (ms),Confinement Start Time (ms),Confinement Stop Time (ms),Logbook,L,H,QH,WP,Test only,LH transition,HL back-transition,QH-WP transition,WP-QH transition
149993,,,990,1980,,1,,,,,,,,
149993,,,2486,2643,,1,,,,,2643,,,
149993,,,2643,3500,,,1,,,,,,,
149993,,,4000,4169,,1,,,,,4169,,,
149993,,,4169,5000,,,1,,,,,,,
149994,,,4150,4950,,1,,,,,,,,
149995,,,2500,2752,,1,,,,,2752,,,
149995,,,4000,5000,,1,,,,,,,,
149996,800,5405,1033,1636,,1,,,,,1654,,,
149996,800,5405,2488,2664,,1,,,,,2676,,,
149996,800,5405,4015,4148,,1,,,,,4159,,,
152814,,,544,978,,1,,,,,978,,,
154482,500,2888.5,1003,1512,,1,,,,,,,,
154771,300,5617.5,2167,2680,,1,,,,,,,,
156679,1000,5094,1500,3800,beautiful,,,1,,,,,,
156680,1000,5094,2000,4000,,,,1,,,,,,
157082,500,5369,1500,2000,,,,1,,,,,,
157083,700,5363.5,2000,4000,,,,1,,,,,,
157087,700,5364,1500,1900,,,,1,,,,,,
157088,700,5364.5,1500,4500,trophy shot,,,1,,,,,,
157089,700,5363.5,2000,3500,,,,1,,,,,,
157092,700,5110.5,2000,3000,,,,1,,,,,,
157096,700,5351,2000,3000,,,,1,,,,,,
157097,700,5359,2000,3000,,,,1,,,,,,
157109,700,5361,1250,2700,,,,1,,,,,2700,
157109,700,5361,2700,4000,,,,,1,,,,,4100
157116,700,5366,2000,4000,,,,1,,,,,,
157117,700,5373,1700,4000,,,,1,,,,,,
157126,700,5364,1250,4500,great shot,,,1,,,,,,
157141,700,5116.5,1500,3500,,,,1,,,,,,
157152,700,5371,2000,3400,,,,1,,,,,,
159144,1200,3927,2500,3000,,,,1,,,,,,
159149,900,5648,2500,3500,,,,1,,,,,,
159161,250,5392.5,2500,4000,,,,1,,,,,,
159172,700,5436,1500,4500,trophy shot,,,1,,,,,,
159174,700,5435,2500,4500,,,,1,,,,,,
159175,700,5434,2500,4500,,,,1,,,,,,
159182,700,5437,3000,3900,LH,,,1,,,,,,
159184,700,5437.5,2500,4500,good,,,1,,,,,,
159186,700,3789,1700,2100,,,,1,,,,,,
159190,700,5434,2000,5000,,,,1,,,,,,
159191,700,5433.5,2500,3000,,,,1,,,,,,
159370,400,5606.5,2500,3500,,,,1,,,,,,
159372,400,5856.5,921,1367,,1,,,,,,,,
159372,400,5856.5,2000,3000,,,,1,,,,,,
159377,100,5887.5,2000,3000,,,,1,,,,,,
159531,1100,5194,3000,4000,,,,1,,,,,,
159533,1100,5194,3500,4000,,,,1,,,,,,
159534,1100,5194,2300,4000,,,,1,,,,,,
159536,1100,5194,3100,3500,,,,1,,,,,,
159537,1100,5194,2500,4400,,,,1,,,,,,
159540,1100,5194,2500,3500,,,,1,,,,,,
159543,1100,5194,2000,2700,,,,1,,,,,,
159544,1100,5194,2000,3200,,,,1,,,,,,
159551,800,5308.5,2000,3300,,,,1,,,,,,
159552,800,4830.5,2000,3200,,,,1,,,,,,
159553,800,4853,2000,3000,,,,1,,,,,,
159554,800,5251.5,2500,3000,,,,1,,,,,,
159562,900,5292,2000,5000,,,,1,,,,,,
159581,900,5384,2500,3500,very good QH,,,1,,,,,,
159590,900,5367,2200,3000,,,,1,,,,,,
159600,900,5518.5,2000,2500,,,,1,,,,,,
