shot,category,t_start,t_end,confidence
185786,2,1280.000000000000,1780.000000000000,
185955,4,3060.000000000000,4880.000000000000,
185956,4,2920.000000000000,5600.000000000001,
185962,4,3040.000000000000,5520.000000000001,
185980,4,3480.000000000000,5480.000000000000,
185982,4,3480.000000000000,5460.000000000000,
185996,4,2600.000000000000,3320.000000000000,
186015,4,700.000000000000,3800.000000000000,
186034,4,620.000000000000,5100.000000000001,
186036,4,620.000000000000,4180.000000000000,
186055,4,620.000000000000,5080.000000000000,
186059,4,620.000000000000,5100.000000000001,
186090,2,1100.000000000000,1740.000000000000,
186114,3,2140.000000000000,3280.000000000000,
186116,3,2240.000000000000,3140.000000000000,
186118,3,2260.000000000000,3060.000000000000,
186118,2,3220.000000000000,4620.000000000000,
186194,4,2840.000000000000,5360.000000000000,
186196,4,4120.000000000000,5520.000000000001,
186223,4,640.000000000000,5540.000000000000,
186224,4,640.000000000000,3260.000000000000,
186254,2,1820.000000000000,2500.000000000000,
186254,3,3480.000000000000,4260.000000000000,
186254,3,4320.000000000000,5860.000000000000,
186257,2,2520.000000000000,5540.000000000000,
186259,2,2080.000000000000,4260.000000000000,
186292,2,3400.000000000000,4660.000000000000,
186481,3,1560.000000000000,2080.000000000000,
186481,3,2720.000000000000,3460.000000000000,
186512,3,2320.000000000000,3340.000000000000,
186528,4,1260.000000000000,2420.000000000000,
186528,4,2460.000000000000,5560.000000000001,
186535,3,1180.000000000000,1880.000000000000,
186563,3,1720.000000000000,2300.000000000000,
186563,4,3800.000000000000,5960.000000000000,
186568,3,2460.000000000000,3100.000000000000,
186568,4,4040.000000000000,4660.000000000000,
186568,4,4700.000000000000,5820.000000000000,
186640,2,2200.000000000000,3020.000000000000,
186744,2,840.000000000000,3280.000000000000,
186744,4,4500.000000000000,5000.000000000000,
186749,2,1840.000000000000,2380.000000000000,
186749,3,2980.000000000000,4680.000000000000,
186750,2,1860.000000000000,2600.000000000000,
186750,3,2940.000000000000,3600.000000000000,
186750,3,3740.000000000000,5440.000000000000,
186861,2,1360.000000000000,5100.000000000001,
186867,2,1280.000000000000,2560.000000000000,
186867,2,2920.000000000000,3440.000000000000,
186867,2,3480.000000000000,3980.000000000000,
186892,2,1340.000000000000,2620.000000000000,
186921,2,3200.000000000000,5880.000000000000,
186976,4,1180.000000000000,1940.000000000000,
186976,4,3360.000000000000,5460.000000000000,
186978,4,1160.000000000000,1980.000000000000,
186978,4,4740.000000000000,5400.000000000000,
187068,2,1000.000000000000,1720.000000000000,
187071,3,1000.000000000000,1640.000000000000,
187071,2,2280.000000000000,5100.000000000001,
187075,2,3240.000000000000,5100.000000000001,
187168,2,3720.000000000000,5120.000000000000,
187196,2,1700.000000000000,2300.000000000000,
187199,2,1240.000000000000,3160.000000000000,
187199,2,3540.000000000000,4100.000000000000,
187249,2,1140.000000000000,1940.000000000000,
187253,2,1160.000000000000,1840.000000000000,
187255,2,1100.000000000000,1820.000000000000,
187308,2,1140.000000000000,1740.000000000000,
188734,2,900.000000000000,1400.000000000000,
188740,2,2440.000000000000,4080.000000000000,
188764,2,5220.000000000000,5820.000000000000,
189009,2,1080.000000000000,1580.000000000000,
189009,2,3760.000000000000,5560.000000000001,
189012,2,1080.000000000000,1580.000000000000,
189012,2,3140.000000000000,5560.000000000001,
189015,2,1000.000000000000,1580.000000000000,
189015,2,2740.000000000000,5560.000000000001,
189042,2,1420.000000000000,2000.000000000000,
189063,2,2120.000000000000,2800.000000000000,
189098,2,980.000000000000,1660.000000000000,
189098,2,1740.000000000000,3000.000000000000,
189098,2,3040.000000000000,5400.000000000000,
189139,4,600.000000000000,5080.000000000000,
189262,4,4560.000000000001,5340.000000000000,
189265,4,1560.000000000000,3540.000000000000,
189265,3,5340.000000000000,6060.000000000001,
189276,4,1480.000000000000,3700.000000000000,
189298,3,3340.000000000000,5200.000000000000,
189315,2,1360.000000000000,1860.000000000000,
189315,4,2540.000000000000,4960.000000000000,
189316,4,2300.000000000000,5180.000000000000,
189370,2,1280.000000000000,1840.000000000000,
189370,2,1880.000000000000,5060.000000000001,
189371,2,2540.000000000000,5080.000000000000,
189373,2,2000.000000000000,5080.000000000000,
189405,4,580.000000000000,2980.000000000000,
189413,4,2420.000000000000,3840.000000000000,
189413,3,4660.000000000000,5540.000000000000,
189445,2,840.000000000000,1480.000000000000,
189445,2,3000.000000000000,3640.000000000000,
189570,2,2460.000000000000,3400.000000000000,
189571,2,2480.000000000000,3080.000000000000,
189573,2,2480.000000000000,3260.000000000000,
189627,2,740.000000000000,5540.000000000000,
189636,2,820.000000000000,1320.000000000000,
189636,2,2040.000000000000,5540.000000000000,
189685,2,1100.000000000000,6080.000000000000,
189689,2,1200.000000000000,6080.000000000000,
189694,2,1160.000000000000,6080.000000000000,
189719,4,680.000000000000,1240.000000000000,
189719,4,2400.000000000000,2940.000000000000,
189719,4,3420.000000000000,5380.000000000000,
189726,4,620.000000000000,4060.000000000000,
189737,4,640.000000000000,5180.000000000000,
189836,3,1160.000000000000,1700.000000000000,
189836,2,2040.000000000000,4520.000000000001,
189867,2,1300.000000000000,1940.000000000000,
189869,2,1000.000000000000,2180.000000000000,
189890,3,2300.000000000000,2820.000000000000,
189890,2,3540.000000000000,4180.000000000000,
189890,2,4880.000000000000,5460.000000000000,
189937,2,2460.000000000000,6060.000000000001,
189938,2,4940.000000000000,5460.000000000000,
189963,2,2420.000000000000,6060.000000000001,
189976,2,1080.000000000000,1700.000000000000,
189988,2,2180.000000000000,4000.000000000000,
189990,2,1800.000000000000,4020.000000000000,
190007,2,920.000000000000,5040.000000000000,
190035,2,1360.000000000000,5560.000000000001,
190065,2,1080.000000000000,1720.000000000000,
190065,2,2300.000000000000,2860.000000000000,
190065,2,3260.000000000000,3840.000000000000,
190098,2,1080.000000000000,2340.000000000000,
190098,2,3260.000000000000,5520.000000000001,
190103,2,1160.000000000000,5520.000000000001,
190104,2,1180.000000000000,5540.000000000000,
190127,2,1440.000000000000,5040.000000000000,
190130,2,1480.000000000000,5040.000000000000,
190170,2,2200.000000000000,3780.000000000000,
190258,2,3900.000000000000,4600.000000000001,
190366,2,3300.000000000000,4940.000000000000,
190366,2,5300.000000000000,7300.000000000000,
190367,2,6100.000000000001,7220.000000000000,
190384,2,4460.000000000000,5260.000000000000,
190384,2,5300.000000000000,6520.000000000001,
190408,2,1060.000000000000,2420.000000000000,
190421,2,1060.000000000000,5300.000000000000,
190443,2,3880.000000000000,5520.000000000001,
190449,2,1520.000000000000,3600.000000000000,
190454,2,1940.000000000000,5520.000000000001,
190509,3,2740.000000000000,4060.000000000000,
190509,4,4240.000000000000,5040.000000000000,
190511,3,880.000000000000,1420.000000000000,
190511,3,3540.000000000000,4540.000000000000,
190627,3,820.000000000000,1500.000000000000,
190627,3,2280.000000000000,4480.000000000000,
