shot,category,t_start,t_end,confidence
140004,1,2971.002000000000,3042.002000000001,
140004,1,2980.000000000000,3060.000000000000,
140006,1,3331.002000000001,3449.002000000001,
140006,1,3340.000000000000,3460.000000000000,
140007,1,3337.002000000000,3468.002000000001,
140007,1,3340.000000000000,3480.000000000000,
140010,1,3072.002000000000,3196.002000000000,
140010,1,3080.000000000000,3200.000000000000,
140011,1,1019.002000000001,1177.002000000000,
140011,1,1020.000000000000,1180.000000000000,
140020,1,2998.002000000000,3080.002000000000,
140021,1,1949.002000000000,2312.002000000001,
140021,1,1960.000000000000,2320.000000000000,
140022,1,2704.002000000000,3073.002000000001,
140022,1,2720.000000000000,3080.000000000000,
140023,1,3976.002000000001,4340.002000000000,
140023,1,3980.000000000000,4340.000000000000,
140024,1,2050.002000000001,2196.002000000000,
140024,1,2060.000000000000,2200.000000000000,
140025,1,2415.002000000000,2717.002000000000,
140025,1,2420.000000000000,2720.000000000000,
140026,1,2268.002000000000,2373.002000000000,
140027,1,2085.002000000000,2241.002000000000,
140027,1,2100.000000000000,2260.000000000000,
140028,1,2243.002000000001,2439.002000000000,
140028,1,2260.000000000000,2440.000000000000,
140032,1,3496.002000000001,4877.002000000000,
140032,1,3500.000000000000,4880.000000000000,
140049,1,4519.002000000001,4622.002000000000,
140049,1,4520.000000000000,4640.000000000000,
140071,1,3864.002000000000,3982.002000000000,
140071,1,3880.000000000000,4000.000000000000,
140072,1,3417.002000000001,3623.002000000000,
140072,1,3420.000000000000,3640.000000000000,
140078,1,2241.002000000000,4091.001999999999,
140078,1,2260.000000000000,4100.000000000000,
140098,1,2509.000999999999,2634.000999999999,
140098,1,2520.000000000000,2640.000000000000,
140105,1,2501.002000000000,3215.002000000000,
140105,1,2520.000000000000,3220.000000000000,
140127,1,2136.000999999999,2715.000999999999,
140127,1,2140.000000000000,2720.000000000000,
140139,1,3620.001999999999,3899.002000000000,
140140,1,2887.001999999999,3003.001999999999,
140140,1,2900.000000000000,3020.000000000000,
140143,1,3425.002000000000,3678.002000000000,
140143,1,3440.000000000000,3680.000000000000,
140149,1,4250.002000000000,4529.002000000000,
140149,1,4260.000000000000,4540.000000000000,
140152,1,4108.002000000000,4448.002000000000,
140152,1,4120.000000000000,4460.000000000000,
140155,1,2392.002000000000,2511.002000000000,
140155,1,2400.000000000000,2520.000000000000,
140157,1,5953.002000000001,6062.002000000001,
140157,1,5960.000000000000,5980.000000000000,
140158,1,4747.002000000000,4894.002000000001,
140158,1,4760.000000000000,4900.000000000000,
140159,1,3336.002000000001,3428.002000000001,
140159,1,3340.000000000000,3440.000000000000,
140161,1,4229.002000000001,4601.002000000000,
140161,1,4240.000000000000,4620.000000000000,
140168,1,3008.002000000000,3268.002000000000,
140168,1,3020.000000000000,3280.000000000000,
140169,1,4330.002000000001,4485.002000000000,
140169,1,4340.000000000000,4500.000000000000,
140171,1,4097.002000000000,4396.002000000000,
140171,1,4100.000000000000,4400.000000000000,
140172,1,4141.002000000000,4415.002000000001,
140172,1,4160.000000000000,4420.000000000000,
140174,1,2078.002000000001,2250.002000000000,
140174,1,2080.000000000000,2260.000000000000,
140175,1,1394.002000000000,1663.002000000000,
140175,1,1400.000000000000,1680.000000000000,
140176,1,1574.002000000000,1837.002000000000,
140176,1,1580.000000000000,1840.000000000000,
140177,1,1365.002000000000,1554.002000000000,
140177,1,1380.000000000000,1560.000000000000,
140191,1,2095.002000000000,2300.002000000001,
140191,1,2100.000000000000,2300.000000000000,
140194,1,2509.002000000000,2604.002000000000,
140194,1,2520.000000000000,2620.000000000000,
140206,1,3332.002000000001,3510.002000000000,
140206,1,3340.000000000000,3520.000000000000,
140207,1,3243.002000000001,3763.002000000001,
140207,1,3260.000000000000,3780.000000000000,
140212,1,4883.002000000000,5287.002000000000,
140212,1,4900.000000000000,5300.000000000000,
140213,1,4993.002000000000,5289.002000000000,
140213,1,5000.000000000000,5300.000000000000,
140217,1,3166.002000000001,3274.002000000000,
140217,1,3180.000000000000,3280.000000000000,
140225,1,4792.001999999999,5083.001999999999,
140225,1,4800.000000000000,5100.000000000000,
140237,1,1874.002000000000,2097.002000000000,
140237,1,1880.000000000000,2100.000000000000,
140267,1,3045.002000000001,3235.002000000001,
140267,1,3060.000000000000,3240.000000000000,
140268,1,3115.002000000000,3309.002000000000,
140268,1,3120.000000000000,3320.000000000000,
140271,1,2947.002000000000,3157.002000000000,
140271,1,2960.000000000000,3160.000000000000,
140272,1,3853.002000000000,4037.002000000001,
140272,1,3860.000000000000,4040.000000000000,
140273,1,4355.002000000000,5356.002000000000,
140273,1,4360.000000000000,5360.000000000000,
140279,1,2943.001999999999,3078.001999999999,
140279,1,2960.000000000000,3080.000000000000,
140282,1,2024.000000000000,2116.000000000000,
140282,1,2040.000000000000,2120.000000000000,
140283,1,2856.001999999999,3034.001999999999,
140283,1,2860.000000000000,3040.000000000000,
140293,1,1562.004999999999,1857.005000000000,
140296,1,4334.001999999999,4697.002000000000,
140296,1,4340.000000000000,4700.000000000000,
140297,1,4319.001999999999,4659.001999999999,
140297,1,4320.000000000000,4660.000000000000,
140298,1,4313.001999999999,4681.002000000000,
140298,1,4320.000000000000,4700.000000000000,
140299,1,4025.002000000000,4209.001999999999,
140299,1,4040.000000000000,4220.000000000000,
140328,1,2752.001999999999,2821.001999999999,
140328,1,2760.000000000000,2840.000000000000,
140332,1,3072.001999999999,3357.001999999999,
140332,1,3080.000000000000,3360.000000000000,
140333,1,4810.001999999999,4914.001999999999,
140333,1,4820.000000000000,4920.000000000000,
