shot,category,t_start,t_end,confidence
156785,1,856.000000000000,856.000000000000,
156786,1,1892.000000000000,1892.000000000000,
156786,1,2318.500000000000,2318.500000000000,
156787,1,1146.500000000000,1146.500000000000,
156787,1,1616.900000000000,1616.900000000000,
156787,1,1617.500000000000,1617.500000000000,
156790,1,1920.000000000000,1920.000000000000,
156791,1,1429.550000000000,1429.550000000000,
156792,1,1498.500000000000,1498.500000000000,
156792,1,2802.000000000000,2802.000000000000,
156793,1,1945.500000000000,1945.500000000000,
156793,1,2725.000000000000,2725.000000000000,
156794,1,1127.000000000000,1127.000000000000,
156794,1,1306.000000000000,1306.000000000000,
156795,1,1656.000000000000,1656.000000000000,
156795,1,1656.400000000000,1656.400000000000,
156795,1,2283.350000000000,2283.350000000000,
156796,1,2730.000000000000,2730.000000000000,
156797,1,1598.050000000000,1598.050000000000,
156797,1,1998.000000000000,1998.000000000000,
158012,1,1406.000000000000,1406.000000000000,
158013,1,1450.000000000000,1450.000000000000,
158013,1,3061.100000000000,3061.100000000000,
158014,1,1927.000000000000,1927.000000000000,
158015,1,2613.000000000000,2613.000000000000,
158018,1,2016.000000000000,2016.000000000000,
158019,1,1608.000000000000,1608.000000000000,
158021,1,1084.000000000000,1084.000000000000,
158022,1,2996.450000000000,2996.450000000000,
158023,1,2501.050000000000,2501.050000000000,
176067,1,2638.000000000000,2638.000000000000,
176068,1,2418.500000000000,2418.500000000000,
176068,1,2692.000000000000,2692.000000000000,
176068,1,2970.500000000000,2970.500000000000,
176068,1,3293.000000000000,3293.000000000000,
176069,1,2269.740000000000,2269.740000000000,
176069,1,3235.000000000000,3235.000000000000,
176069,1,3789.500000000000,3789.500000000000,
176070,1,2818.400000000000,2818.400000000000,
176070,1,3013.500000000000,3013.500000000000,
176071,1,3071.000000000000,3071.000000000000,
176074,1,2239.000000000000,2239.000000000000,
176074,1,3461.000000000000,3461.000000000000,
176077,1,1653.500000000000,1653.500000000000,
176078,1,3435.000000000000,3435.000000000000,
176078,1,4149.000000000000,4149.000000000000,
176085,1,3560.000000000000,3560.000000000000,
176085,1,3827.500000000000,3827.500000000000,
176087,1,3138.000000000000,3138.000000000000,
176088,1,2121.000000000000,2121.000000000000,
176088,1,2328.000000000000,2328.000000000000,
176088,1,3616.000000000000,3616.000000000000,
176088,1,4133.500000000000,4133.500000000000,
176089,1,2843.000000000000,2843.000000000000,
176089,1,4400.000000000000,4400.000000000000,
176092,1,4084.000000000000,4084.000000000000,
