shot,t0_s,t1_s,phenomenon,evidence_kind,source,confidence,attrs
176067,2.638000000000,2.638000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176068,2.418500000000,2.418500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176068,2.692000000000,2.692000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176068,2.970500000000,2.970500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176068,3.293000000000,3.293000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176069,2.269740000000,2.269740000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176069,3.235000000000,3.235000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176069,3.789500000000,3.789500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176070,2.818400000000,2.818400000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176070,3.013500000000,3.013500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176071,3.071000000000,3.071000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176074,2.239000000000,2.239000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176074,3.461000000000,3.461000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176077,1.653500000000,1.653500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176078,3.435000000000,3.435000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176078,4.149000000000,4.149000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176085,3.560000000000,3.560000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176085,3.827500000000,3.827500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2024""}"
176087,3.138000000000,3.138000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176088,2.121000000000,2.121000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176088,2.328000000000,2.328000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176088,3.616000000000,3.616000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176088,4.133500000000,4.133500000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2024""}"
176089,2.843000000000,2.843000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2024""}"
176089,4.400000000000,4.400000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2024""}"
176092,4.084000000000,4.084000000000,rwm,database,database:rwm_onsets_2024,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2024""}"
