shot,t0_s,t1_s,phenomenon,evidence_kind,source,confidence,attrs
156785,0.856000000000,0.856000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156786,1.892000000000,1.892000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156786,2.318500000000,2.318500000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156787,1.146500000000,1.146500000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156787,1.616900000000,1.616900000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156787,1.617500000000,1.617500000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156790,1.920000000000,1.920000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156791,1.429550000000,1.429550000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156792,1.498500000000,1.498500000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156792,2.802000000000,2.802000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156793,1.945500000000,1.945500000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156793,2.725000000000,2.725000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156794,1.127000000000,1.127000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156794,1.306000000000,1.306000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156795,1.656000000000,1.656000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156795,1.656400000000,1.656400000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156795,2.283350000000,2.283350000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156796,2.730000000000,2.730000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156797,1.598050000000,1.598050000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
156797,1.998000000000,1.998000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158012,1.406000000000,1.406000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158013,1.450000000000,1.450000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158013,3.061100000000,3.061100000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158014,1.927000000000,1.927000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158015,2.613000000000,2.613000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2017""}"
158018,2.016000000000,2.016000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158019,1.608000000000,1.608000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158021,1.084000000000,1.084000000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158022,2.996450000000,2.996450000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""rwm"", ""NTOR"": 1, ""table"": ""rwm_onsets_2017""}"
158023,2.501050000000,2.501050000000,rwm,database,database:rwm_onsets_2017,,"{""MODE_TYPE"": ""n2rwm"", ""NTOR"": 2, ""table"": ""rwm_onsets_2017""}"
