SHOT,ONSET_TIME,NTOR,MODE_TYPE
158015,2.61300E+03,2,n2rwm
158023,2.50105E+03,2,n2rwm
156785,8.56000E+02,1,rwm
156787,1.14650E+03,1,rwm
156787,1.61690E+03,1,rwm
156790,1.92000E+03,1,rwm
156792,1.49850E+03,1,rwm
156792,2.80200E+03,1,rwm
156793,1.94550E+03,1,rwm
156793,2.72500E+03,1,rwm
156794,1.12700E+03,1,rwm
156794,1.30600E+03,1,rwm
156795,1.65640E+03,1,rwm
156797,1.59805E+03,1,rwm
156797,1.99800E+03,1,rwm
156786,1.89200E+03,1,rwm
156786,2.31850E+03,1,rwm
156787,1.61750E+03,1,rwm
156791,1.42955E+03,1,rwm
156795,1.65600E+03,1,rwm
156795,2.28335E+03,1,rwm
156796,2.73000E+03,1,rwm
158012,1.40600E+03,1,rwm
158013,1.45000E+03,1,rwm
158013,3.06110E+03,1,rwm
158014,1.92700E+03,1,rwm
158018,2.01600E+03,1,rwm
158019,1.60800E+03,1,rwm
158021,1.08400E+03,1,rwm
158022,2.99645E+03,1,rwm
