shot,split,role,mirnov_bp_p90,mirnov_bp_median,n_windows
190244,val,quiet,-2.317,-2.337,31
190245,val,quiet,-2.311,-2.338,31
190246,train,quiet,-2.323,-2.343,31
190247,train,quiet,-2.319,-2.338,31
190253,train,active,1.827,0.013,31
190353,val,quiet,-2.308,-2.322,31
190358,train,quiet,-2.282,-2.309,31
190507,val,active,2.864,0.420,31
190625,train,active,1.461,0.299,31
190668,train,active,1.323,0.037,31
190684,train,active,1.211,-1.655,31
190790,val,active,2.291,0.446,25
190794,train,active,2.111,0.543,25
190807,train,quiet,-2.320,-2.342,25
190816,val,active,2.463,0.455,25
190921,val,active,3.227,0.172,31
190925,train,active,3.260,-2.000,31
190996,train,active,2.458,1.703,31
191008,train,active,2.290,1.541,31
191028,train,active,1.334,0.117,31
191034,train,active,2.212,-1.275,31
191096,train,quiet,-2.293,-2.315,31
191423,val,active,2.027,0.492,31
191434,train,active,2.141,0.559,31
191448,val,active,2.149,1.368,31
191452,train,quiet,-2.315,-2.341,31
191588,val,active,3.121,0.036,31
191604,train,active,1.281,0.514,31
191812,train,active,1.200,-0.002,31
191851,train,quiet,-2.313,-2.339,31
191852,val,quiet,-2.325,-2.341,31
191875,train,active,1.711,0.045,31
191929,train,active,1.878,-0.017,31
192101,train,quiet,-2.277,-2.306,31
192210,train,active,2.072,-0.891,31
192216,train,quiet,-2.293,-2.311,31
192377,train,quiet,-2.280,-2.302,31
192387,val,active,2.399,-0.165,31
192388,val,active,2.246,-0.132,31
192397,train,active,2.675,-0.015,31
192486,val,quiet,-2.349,-2.359,31
192490,train,quiet,-2.281,-2.296,31
192496,val,quiet,-2.365,-2.380,31
192497,train,quiet,-2.367,-2.383,31
192508,train,quiet,-2.279,-2.291,31
192516,val,quiet,-2.324,-2.341,31
192524,train,quiet,-2.595,-2.649,31
192533,train,quiet,-3.160,-3.190,31
192537,val,quiet,-3.144,-3.172,31
192542,train,quiet,-2.275,-2.305,31
192638,train,active,1.431,1.175,31
192672,train,active,1.822,0.639,31
192750,train,active,1.220,0.224,31
192909,val,quiet,-2.302,-2.314,31
192921,val,active,2.806,0.357,31
193056,train,quiet,-2.276,-2.288,31
193131,train,active,1.352,0.185,31
193140,train,active,2.247,0.187,31
193153,val,active,2.364,0.944,31
193155,train,active,2.346,-1.417,31
193157,train,active,2.174,0.619,31
193162,train,active,2.199,0.675,31
193194,val,active,2.713,0.199,31
193214,train,quiet,-2.267,-2.286,31
193278,val,active,2.125,0.346,31
193289,train,active,1.533,0.614,31
193360,train,active,2.169,0.341,37
193367,val,active,2.226,0.385,37
193371,val,active,2.109,0.217,37
193597,train,active,2.289,-1.567,37
193666,train,active,1.995,-1.796,37
193735,train,active,1.932,-0.541,29
193794,train,active,1.214,0.582,16
193807,val,active,2.187,1.305,29
193810,train,active,1.553,1.018,29
193819,train,active,1.489,-2.185,29
200018,train,active,1.189,0.583,31
200022,train,active,2.039,0.123,31
200160,train,active,3.263,-0.572,31
200187,train,active,1.594,0.350,31
200205,train,active,2.538,0.331,31
200232,val,active,2.152,0.238,31
200333,val,active,2.696,1.083,31
200341,val,active,2.807,1.008,31
200435,train,active,1.186,0.779,31
200440,train,active,1.183,0.433,31
200445,train,active,1.263,0.558,31
200446,train,active,3.065,1.351,31
200456,train,active,1.228,0.733,31
200545,train,active,1.597,0.545,31
200547,val,active,2.785,0.877,31
200558,val,active,3.028,0.246,31
200613,train,active,1.255,-2.047,31
200724,train,active,1.225,0.097,14
200876,val,active,2.439,-1.519,31
201237,train,active,1.299,0.197,31
201242,train,active,1.412,0.988,31
201293,train,quiet,-2.600,-2.615,31
201574,val,active,3.749,0.274,31
201639,train,active,2.037,-0.241,34
201672,val,active,2.213,0.016,34
